,Date,dji,dji_Volume,goog,goog_Volume,ccl,ccl_Volume,zm,zm_Volume,ba,ba_Volume,World,USA
0,2020-04-02,21413.4395,534668793.0,1120.84,1963621.0,7.97,261686585.0,121.93,27290010.0,123.27,42167215.0,928437,216721
1,2020-04-01,20943.5098,506680000.0,1105.62,2341476.0,8.8,179262157.0,137.0,11233214.0,130.7,41740852.0,851309,189618
2,2020-03-31,21917.1602,571210000.0,1162.81,2487983.0,13.17,112841719.0,146.12,10023701.0,149.14,29782664.0,777797,164620
3,2020-03-30,22327.4805,545540000.0,1146.82,2574061.0,12.8,46110899.0,150.88,15762176.0,152.28,50975151.0,715353,143025
4,2020-03-27,21636.7793,588830000.0,1110.71,3208495.0,14.41,64481734.0,151.7,13271899.0,162.0,47729982.0,527767,85991
5,2020-03-26,22552.1699,705180000.0,1161.75,3573755.0,17.82,97396096.0,141.15,9284038.0,180.55,63172068.0,468049,69194
6,2020-03-25,21200.5508,796320000.0,1102.49,4081528.0,15.55,77868838.0,138.11,14743014.0,158.73,77314766.0,416845,55231
7,2020-03-24,20704.9102,799340000.0,1134.46,3344450.0,13.68,64715137.0,135.18,22401325.0,127.68,42870185.0,377918,46442
8,2020-03-23,18591.9297,787970000.0,1056.62,4044137.0,12.0,52361305.0,159.56,27681459.0,105.62,45885390.0,338133,35206
9,2020-03-20,19173.9805,872290000.0,1072.32,3601750.0,12.0,80012448.0,130.55,13872634.0,95.01,41315012.0,242364,14250
10,2020-03-19,20087.1895,780300000.0,1115.29,3651106.0,10.0,52549911.0,123.77,16248378.0,97.71,40102013.0,213150,9415
11,2020-03-18,19898.9199,871360000.0,1096.8,4233435.0,9.3,69702661.0,118.71,13557675.0,101.89,61670161.0,194836,6427
12,2020-03-17,21237.3809,793060000.0,1119.8,3861489.0,12.71,41551767.0,111.1,18721520.0,124.14,54313919.0,180096,4661
13,2020-03-16,20188.5195,770130000.0,1084.33,4252365.0,14.57,50680785.0,107.86,17210658.0,129.61,26677344.0,167418,3774
14,2020-03-13,23185.6191,843080000.0,1219.73,3700125.0,17.58,55486986.0,107.47,9233528.0,170.2,21124475.0,133852,1663
15,2020-03-12,21200.6191,908260000.0,1114.91,4226748.0,14.97,47701460.0,109.47,12097921.0,154.84,31573834.0,125497,1312
16,2020-03-11,23553.2207,663960000.0,1215.41,2611229.0,21.75,38234589.0,110.3,12594394.0,189.08,28430955.0,118610,1025
17,2020-03-10,25018.1602,654860000.0,1280.39,2611373.0,24.02,45416047.0,108.49,10244041.0,231.01,13035158.0,114232,754
18,2020-03-09,23851.0195,750430000.0,1215.56,3365365.0,21.74,33668701.0,113.75,14571293.0,227.17,11531537.0,109695,554
19,2020-03-06,25864.7793,599780000.0,1298.41,2660628.0,27.15,29694600.0,114.32,22975681.0,262.33,12851096.0,98172,233
20,2020-03-05,26121.2793,477370000.0,1319.04,2561288.0,27.87,33056604.0,125.0,28149364.0,260.37,14604268.0,95316,159
21,2020-03-04,27090.8594,457590000.0,1386.52,1913315.0,32.46,19494315.0,116.8,12102566.0,283.12,6982078.0,93077,125
22,2020-03-03,25917.4102,647080000.0,1341.39,2402326.0,31.83,19714472.0,117.47,11033675.0,280.62,7480561.0,90664,103
23,2020-03-02,26703.3203,637200000.0,1389.11,2431468.0,33.06,19711292.0,113.11,10157444.0,289.27,10998219.0,89068,89
24,2020-02-28,25409.3594,915990000.0,1339.33,3790618.0,33.46,24854848.0,105.0,21710989.0,275.11,15360622.0,83365,60
25,2020-02-27,25766.6406,664980000.0,1318.09,2978300.0,31.85,31481778.0,113.55,13511847.0,287.76,10969032.0,82101,59
26,2020-02-26,26957.5898,472450000.0,1393.18,2204037.0,33.14,23490494.0,106.88,6885393.0,305.59,6986642.0,80995,53
27,2020-02-25,27081.3594,513270000.0,1388.45,2478278.0,35.84,16149166.0,107.08,13425942.0,304.14,8038159.0,80132,53
28,2020-02-24,27960.8008,452580000.0,1421.59,2867053.0,37.76,15433153.0,105.01,12172751.0,317.9,6047617.0,79339,35
29,2020-02-21,28992.4102,311210000.0,1485.11,1732273.0,41.69,8006963.0,101.76,5535908.0,330.38,3706421.0,76719,16
30,2020-02-20,29219.9805,287780000.0,1518.15,1096552.0,42.5,5340218.0,105.29,11293189.0,336.28,2797345.0,75723,15
31,2020-02-19,29348.0293,240640000.0,1526.69,949268.0,43.34,4622499.0,103.93,7793793.0,338.3,4933408.0,75191,15
32,2020-02-18,29232.1895,256600000.0,1519.67,1121140.0,42.92,6245312.0,96.39,5669685.0,338.88,2904392.0,73327,15
33,2020-02-14,29398.0801,231000000.0,1520.74,1197836.0,42.6,3995905.0,90.95,2295039.0,340.49,4197440.0,64543,15
34,2020-02-13,29423.3105,291150000.0,1514.66,929730.0,43.2,6661782.0,89.86,3406429.0,342.82,3779508.0,60328,14
35,2020-02-12,29551.4199,309530000.0,1518.27,1167565.0,44.06,6845076.0,88.28,1671131.0,347.45,4411447.0,45177,13
36,2020-02-11,29276.3398,279540000.0,1508.79,1344633.0,42.95,5805679.0,88.68,2731896.0,344.42,5308416.0,43105,13
37,2020-02-10,29276.8203,250510000.0,1508.68,1419876.0,41.78,4824659.0,89.67,2071618.0,344.67,5866702.0,40540,12
38,2020-02-07,29102.5098,252860000.0,1479.23,1172270.0,42.2,11246890.0,88.64,2636910.0,336.75,5335901.0,31491,12
39,2020-02-06,29379.7695,263700000.0,1476.23,1679384.0,43.78,4530607.0,87.26,2410793.0,341.43,12833674.0,28273,12
40,2020-02-05,29290.8496,357540000.0,1448.23,1986157.0,44.14,6671463.0,86.99,5126835.0,329.55,6066530.0,24522,11
41,2020-02-04,28807.6309,332750000.0,1447.07,3932954.0,43.56,6152586.0,85.79,10611018.0,317.94,3775968.0,20615,11
42,2020-02-03,28399.8105,307910000.0,1485.94,3055216.0,42.75,8335102.0,87.66,13023449.0,316.0,4841642.0,17372,11
43,2020-01-31,28256.0293,403890000.0,1434.23,2417214.0,43.53,11795354.0,76.3,2521702.0,318.27,4996741.0,9826,6
44,2020-01-30,28859.4395,326850000.0,1455.84,1339421.0,44.75,14853802.0,74.54,1425377.0,323.3,6015979.0,7823,5
45,2020-01-29,28734.4492,302290000.0,1458.63,1078667.0,46.5,3407193.0,73.58,1374490.0,322.02,12453405.0,6067,5
46,2020-01-28,28722.8496,330140000.0,1452.56,1577422.0,46.5,7154801.0,71.51,1598234.0,316.56,5490338.0,4587,5
47,2020-01-27,28535.8008,337270000.0,1433.9,1755201.0,45.27,8098022.0,70.44,1750696.0,316.6,7462778.0,2820,5
48,2020-01-24,28989.7305,380010000.0,1466.71,1784644.0,47.52,6470383.0,73.0,1660195.0,323.05,17787515.0,897,1
49,2020-01-23,29160.0898,307060000.0,1486.65,1351354.0,49.45,6304993.0,74.47,1279050.0,317.79,9694336.0,631,1
50,2020-01-22,29186.2695,283440000.0,1485.95,1610846.0,49.88,5107399.0,75.61,1501614.0,309.0,18777101.0,534,1
51,2020-01-21,29196.0391,320640000.0,1484.4,2008830.0,50.69,12094964.0,76.73,1588867.0,313.37,19297403.0,392,1
52,2020-01-17,29348.0996,321820000.0,1480.39,2396215.0,51.9,6560212.0,75.56,1357419.0,324.15,11010301.0,66,0
53,2020-01-16,29297.6406,252110000.0,1451.7,1173688.0,51.35,4772686.0,76.11,2999426.0,332.0,4018081.0,61,0
54,2020-01-15,29030.2207,260270000.0,1439.2,1282685.0,50.44,3656045.0,76.94,3963465.0,329.8,4576134.0,61,0
55,2020-01-14,28939.6699,287440000.0,1430.88,1560453.0,50.21,4406133.0,73.16,1910801.0,332.35,6944916.0,60,0
56,2020-01-13,28907.0508,249830000.0,1439.23,1378286.0,49.36,4041739.0,74.03,3333008.0,330.22,5647243.0,60,0
57,2020-01-10,28823.7695,237830000.0,1429.73,1821566.0,48.85,4362546.0,73.09,1656235.0,329.92,7160434.0,59,0
58,2020-01-09,28956.9004,275060000.0,1419.83,1502664.0,49.2,2588897.0,72.62,2776328.0,336.34,8174937.0,59,0
59,2020-01-08,28745.0898,291750000.0,1404.32,1529177.0,48.76,5021358.0,72.55,2483510.0,331.37,8238497.0,59,0
60,2020-01-07,28583.6797,258900000.0,1393.34,1511693.0,48.53,5748161.0,71.9,7004619.0,337.28,9901768.0,59,0
61,2020-01-06,28703.3809,252760000.0,1394.21,1733149.0,48.38,6693927.0,70.32,3152028.0,333.74,5353250.0,59,0
62,2020-01-03,28634.8809,239590000.0,1360.66,1187006.0,49.89,4892328.0,67.28,1128483.0,332.76,3875835.0,44,0
63,2020-01-02,28868.8008,251820000.0,1367.37,1406731.0,51.31,4200997.0,68.72,1315723.0,333.32,4543965.0,27,0
64,2019-12-31,28538.4395,193340000.0,1337.02,962468.0,50.83,3130950.0,68.04,1352189.0,325.76,4957776.0,27,0
